		class	id	{	}	;	program	(	)	float	int	if	then	else	for	get	put	return	+	-	num	integer	not	.	[	]	,	=	==	<>	<	>	<=	>=	or	*	/	and	$	
prog		1	98	98	98	98	1	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	97	
A		2	98	98	98	98	3	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
classDecl	4	98	98	98	98	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
V		98	5	98	6	98	98	98	98	5	5	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
T		98	7	98	97	98	98	98	98	7	7	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
K		98	97	98	97	8	98	9	98	97	97	98	98	98	98	98	98	98	98	98	98	98	98	98	8	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
progBody	98	98	98	98	98	10	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	97	
C		98	11	98	98	98	98	98	98	11	11	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	12	
funcHead	98	13	97	98	98	98	98	98	13	13	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
funcDef		98	14	98	98	98	98	98	98	14	14	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	97	
M		98	97	98	97	98	98	15	98	97	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
funcBody	98	98	16	98	97	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
R		98	17	98	18	98	98	98	98	17	17	17	98	98	17	17	17	17	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
L		98	19	98	97	98	98	98	98	21	21	20	98	98	20	20	20	20	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
Q		98	97	98	98	98	98	98	98	22	23	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	
