Line 1:1 CLASS class 
Line 1:2 ID Utility 
Line 1:3 OPENBRACE { 
Line 2:1 INT int 
Line 2:2 ID var1 
Line 2:3 OPENBRACKET [ 
Line 2:4 INTEGER 4 
Line 2:5 CLOSEBRACKET ] 
Line 2:6 OPENBRACKET [ 
Line 2:7 INTEGER 5 
Line 2:8 CLOSEBRACKET ] 
Line 2:9 OPENBRACKET [ 
Line 2:10 INTEGER 7 
Line 2:11 CLOSEBRACKET ] 
Line 2:12 OPENBRACKET [ 
Line 2:13 INTEGER 8 
Line 2:14 CLOSEBRACKET ] 
Line 2:15 OPENBRACKET [ 
Line 2:16 INTEGER 9 
Line 2:17 CLOSEBRACKET ] 
Line 2:18 OPENBRACKET [ 
Line 2:19 INTEGER 1 
Line 2:20 CLOSEBRACKET ] 
Line 2:21 OPENBRACKET [ 
Line 2:22 INTEGER 0 
Line 2:23 CLOSEBRACKET ] 
Line 2:24 SEMICOLON ; 
Line 3:1 RESERVED_FLOAT float 
Line 3:2 ID var2 
Line 3:3 SEMICOLON ; 
Line 4:1 INT int 
Line 4:2 ID findMax 
Line 4:3 OPENPAR ( 
Line 4:4 INT int 
Line 4:5 ID array 
Line 4:6 OPENBRACKET [ 
Line 4:7 INTEGER 100 
Line 4:8 CLOSEBRACKET ] 
Line 4:9 CLOSEPAR ) 
Line 4:10 OPENBRACE { 
Line 5:1 INT int 
Line 5:2 ID maxValue 
Line 5:3 SEMICOLON ; 
Line 6:1 INT int 
Line 6:2 ID idx 
Line 6:3 SEMICOLON ; 
Line 7:1 ID maxValue 
Line 7:2 ASSGN = 
Line 7:3 ID array 
Line 7:4 OPENBRACKET [ 
Line 7:5 INTEGER 100 
Line 7:6 CLOSEBRACKET ] 
Line 7:7 SEMICOLON ; 
Line 8:1 FOR for 
Line 8:2 OPENPAR ( 
Line 8:3 INT int 
Line 8:4 ID idx2 
Line 8:5 ASSGN = 
Line 8:6 INTEGER 99 
Line 8:7 SEMICOLON ; 
Line 8:8 ID idx 
Line 8:9 GT > 
Line 8:10 INTEGER 0 
Line 8:11 SEMICOLON ; 
Line 8:12 ID idx 
Line 8:13 ASSGN = 
Line 8:14 ID idx 
Line 8:15 MINUS - 
Line 8:16 INTEGER 1 
Line 8:17 CLOSEPAR ) 
Line 8:18 OPENBRACE { 
Line 9:1 IF if 
Line 9:2 OPENPAR ( 
Line 9:3 ID array 
Line 9:4 OPENBRACKET [ 
Line 9:5 ID idx 
Line 9:6 CLOSEBRACKET ] 
Line 9:7 GT > 
Line 9:8 ID maxValue 
Line 9:9 CLOSEPAR ) 
Line 9:10 THEN then 
Line 9:11 OPENBRACE { 
Line 10:1 ID maxValue 
Line 10:2 ASSGN = 
Line 10:3 ID array 
Line 10:4 OPENBRACKET [ 
Line 10:5 ID idx 
Line 10:6 CLOSEBRACKET ] 
Line 10:7 SEMICOLON ; 
Line 11:1 CLOSEBRACE } 
Line 11:2 ELSE else 
Line 11:3 OPENBRACE { 
Line 11:4 CLOSEBRACE } 
Line 11:5 SEMICOLON ; 
Line 12:1 CLOSEBRACE } 
Line 12:2 SEMICOLON ; 
Line 13:1 RETURN return 
Line 13:2 OPENPAR ( 
Line 13:3 ID maxValue 
Line 13:4 CLOSEPAR ) 
Line 13:5 SEMICOLON ; 
Line 14:1 CLOSEBRACE } 
Line 14:2 SEMICOLON ; 
Line 15:1 INT int 
Line 15:2 ID findMin 
Line 15:3 OPENPAR ( 
Line 15:4 INT int 
Line 15:5 ID array 
Line 15:6 OPENBRACKET [ 
Line 15:7 INTEGER 100 
Line 15:8 CLOSEBRACKET ] 
Line 15:9 CLOSEPAR ) 
Line 15:10 OPENBRACE { 
Line 16:1 INT int 
Line 16:2 ID minValue 
Line 16:3 SEMICOLON ; 
Line 17:1 INT int 
Line 17:2 ID idx 
Line 17:3 SEMICOLON ; 
Line 18:1 ID minValue 
Line 18:2 ASSGN = 
Line 18:3 ID array 
Line 18:4 OPENBRACKET [ 
Line 18:5 INTEGER 100 
Line 18:6 CLOSEBRACKET ] 
Line 18:7 SEMICOLON ; 
Line 19:1 FOR for 
Line 19:2 OPENPAR ( 
Line 19:3 INT int 
Line 19:4 ID idx2 
Line 19:5 ASSGN = 
Line 19:6 INTEGER 1 
Line 19:7 SEMICOLON ; 
Line 19:8 ID idx 
Line 19:9 LESSEQ <= 
Line 19:10 INTEGER 99 
Line 19:11 SEMICOLON ; 
Line 19:12 ID idx 
Line 19:13 ASSGN = 
Line 19:14 OPENPAR ( 
Line 19:15 ID idx 
Line 19:16 CLOSEPAR ) 
Line 19:17 PLUS + 
Line 19:18 INTEGER 1 
Line 19:19 CLOSEPAR ) 
